epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,800.224,2.08811,1.24416,0.0025,0.69214,0.48594,0.55574,0.30518,1.9818,1.22322,0.00323,0.0017228,0.0017228,0.0017228
44,818.911,2.0825,1.23374,0.00251,0.68728,0.48877,0.55036,0.29798,2.00449,1.25824,0.00329,0.0017162,0.0017162,0.0017162
45,837.612,2.08289,1.22681,0.00247,0.69151,0.47715,0.54742,0.29716,1.97632,1.26967,0.00327,0.0017096,0.0017096,0.0017096
46,856.615,2.10714,1.23003,0.00248,0.65648,0.48343,0.53664,0.29763,1.98466,1.33532,0.00324,0.001703,0.001703,0.001703
47,875.954,2.11468,1.23692,0.00246,0.68691,0.47228,0.53822,0.28783,2.07009,1.29146,0.00341,0.0016964,0.0016964,0.0016964
48,894.691,2.08721,1.22467,0.00244,0.66753,0.48783,0.54925,0.29799,1.99521,1.25837,0.00323,0.0016898,0.0016898,0.0016898
49,912.969,2.07395,1.21416,0.00251,0.69515,0.49144,0.55505,0.3027,1.99602,1.24258,0.00329,0.0016832,0.0016832,0.0016832
50,932.152,2.12103,1.22081,0.00246,0.68355,0.49427,0.55944,0.30477,1.96993,1.27064,0.0032,0.0016766,0.0016766,0.0016766
51,950.911,2.0824,1.20447,0.00241,0.68374,0.47746,0.54365,0.28871,2.04876,1.24622,0.00328,0.00167,0.00167,0.00167
52,969.147,2.05395,1.21558,0.00248,0.68358,0.47589,0.54216,0.29064,2.02072,1.29534,0.00334,0.0016634,0.0016634,0.0016634
53,987.743,2.09448,1.21971,0.00246,0.68172,0.48469,0.54924,0.29993,1.99335,1.26056,0.00322,0.0016568,0.0016568,0.0016568
54,1006.94,2.10857,1.22702,0.00243,0.68016,0.49398,0.55914,0.30112,1.9911,1.26646,0.00327,0.0016502,0.0016502,0.0016502
55,1025.86,2.09424,1.19118,0.00248,0.71852,0.4883,0.5636,0.29845,2.01727,1.2256,0.00334,0.0016436,0.0016436,0.0016436
56,1044.71,2.04443,1.18642,0.00239,0.69244,0.49751,0.56517,0.30975,1.98305,1.22733,0.00321,0.001637,0.001637,0.001637
57,1063.79,2.06363,1.19078,0.00242,0.7229,0.485,0.56406,0.30207,2.01275,1.24472,0.00329,0.0016304,0.0016304,0.0016304
58,1083.31,2.04381,1.1862,0.00237,0.67075,0.49209,0.55389,0.30784,1.96749,1.25623,0.00325,0.0016238,0.0016238,0.0016238
59,1102.17,2.04894,1.18144,0.00242,0.68025,0.50102,0.5651,0.30843,1.96438,1.29187,0.0032,0.0016172,0.0016172,0.0016172
60,1121.46,2.06348,1.19277,0.00241,0.69389,0.48531,0.55512,0.29978,2.01038,1.25236,0.00332,0.0016106,0.0016106,0.0016106
61,1139.7,2.03334,1.17708,0.00239,0.69151,0.48547,0.55268,0.29984,1.99945,1.24723,0.00326,0.001604,0.001604,0.001604
62,1158.65,2.07057,1.19118,0.00239,0.69873,0.47864,0.54896,0.30285,1.98368,1.25725,0.00323,0.0015974,0.0015974,0.0015974
63,1177.4,2.07988,1.19703,0.0024,0.69462,0.49411,0.55963,0.30036,1.99082,1.23616,0.00333,0.0015908,0.0015908,0.0015908
